       0 | 28400
     100 | 4100
     200 | 34200
     300 | 56300
     400 | 18800
     500 | 73200
     600 | 98300
     700 | 20800
     800 | 59500
     900 | 39500
    1000 | 67500
    1100 | 62700
    1200 | 52600
    1300 | 82700
    1400 | 61100
    1500 | 94800
    1600 | 98100
    1700 | 76400
    1800 | 75700
    1900 | 115600
    2000 | 76700
    2100 | 79800
    2200 | 127300
    2300 | 94600
    2400 | 243200
    2500 | 113600
    2600 | 101200
    2700 | 89700
    2800 | 148200
    2900 | 114500
    3000 | 123900
    3100 | 116400
    3200 | 172500
    3300 | 232300
    3400 | 119400
    3500 | 101600
    3600 | 108900
    3700 | 129800
    3800 | 85100
    3900 | 18800
    4000 | 23000
    4100 | 19800
    4200 | 23400
    4300 | 20600
    4400 | 18800
    4500 | 30000
    4600 | 23900
    4700 | 23100
    4800 | 21900
    4900 | 20700
    5000 | 21700
    5100 | 22200
    5200 | 39100
    5300 | 29600
    5400 | 28500
    5500 | 47800
    5600 | 41400
    5700 | 52300
    5800 | 47100
    5900 | 46900
    6000 | 34200
    6100 | 25800
    6200 | 26900
    6300 | 102400
    6400 | 27200
    6500 | 91300
    6600 | 36200
    6700 | 63600
    6800 | 53500
    6900 | 112800
    7000 | 35300
    7100 | 73200
    7200 | 101600
    7300 | 67300
    7400 | 104100
    7500 | 80100
    7600 | 56700
    7700 | 3200
    7800 | 3400
    7900 | 3200
    8000 | 5000
    8100 | 3400
    8200 | 3900
    8300 | 3800
    8400 | 3400
    8500 | 5300
    8600 | 4000
    8700 | 3800
    8800 | 3500
    8900 | 5200
    9000 | 5200
    9100 | 7000
    9200 | 5100
    9300 | 3500
    9400 | 3600
    9500 | 6300
    9600 | 3900
    9700 | 4000
    9800 | 3800
    9900 | 3700
   10000 | 4400
   10100 | 4300
   10200 | 4600
   10300 | 8200
   10400 | 4000
   10500 | 4000
   10600 | 5300
   10700 | 4200
   10800 | 4000
   10900 | 4100
   11000 | 4300
   11100 | 4200
   11200 | 7600
   11300 | 7700
   11400 | 4500
   11500 | 4300
   11600 | 4400
   11700 | 4300
   11800 | 6700
   11900 | 8600
   12000 | 7000
   12100 | 6000
   12200 | 6900
   12300 | 7400
   12400 | 12700
   12500 | 4900
   12600 | 5100
   12700 | 4800
